"","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","flags"
"1","Benin",93.87,95.14,95,95.18,96.75,98.22,100.22,101.96,103.42,104.92,105.22,125.14,129.03,145.17,160.65,169.69,169.54,175.64,163.31,150.58,139.88,131.1,130.56,129.52,127.8,125.73,129.03,121.66,129.02,121.67,"https://public.flourish.studio/country-flags/svg/bj.svg"
"2","Burkina Faso",183.56,192.9,199.45,204.1,209.15,214.27,219.57,224.61,230.02,233.9,235.13,256.01,260.73,271.08,264.25,256.33,246.06,250.94,251.89,252.39,248.92,240.21,235.03,219.66,202.96,179.98,156.74,132.38,122.73,125.4,"https://public.flourish.studio/country-flags/svg/bf.svg"
"3","Cape Verde",0,0,0,0,0,0,0,0,0,0,0.17,0.1,0.07,0.05,0.03,0.05,0.06,0.01,0.02,0.05,0.04,0.01,0,0.01,0.01,0,0.04,0.22,0.33,1.66,"https://public.flourish.studio/country-flags/svg/cv.svg"
"4","Cote d'Ivoire",174.95,181.02,182.99,184.58,185.28,186.58,186.91,187.65,189.37,191.23,185.53,204.46,206.48,222.49,228.45,232.43,232.67,241.21,233.19,224.09,210.55,195.83,177.04,149.36,141.89,135.72,150.8,150.41,137.79,143.45,"https://public.flourish.studio/country-flags/svg/ci.svg"
"5","Gambia",168.8,164.67,144.73,170.57,184.88,123.39,181.71,177.87,142.57,89.24,138.89,162.56,151.1,134.99,80.19,68.15,80.67,83.54,109.39,96.35,107.04,164.32,161.06,144.56,96.95,111.6,78.04,42.35,49.36,46.77,"https://public.flourish.studio/country-flags/svg/gm.svg"
"6","Ghana",83.19,89.07,91.66,93.08,94.77,97.35,101.47,107.13,112.34,117.77,119.93,134.61,136.26,147.22,147.89,148.34,141.85,148.52,149.45,147.5,144.53,135.92,128.57,117.91,110.71,94.78,85.78,78.19,83.49,81.39,"https://public.flourish.studio/country-flags/svg/gh.svg"
"7","Guinea",87.64,91.21,91.57,91.35,91.6,94.38,96.78,96.64,101.59,105.5,107.38,116.67,119.57,124.7,126.87,122.68,120.18,123.19,124.47,124.87,125.74,124.41,119.5,115.01,107.38,98.53,92.98,87.22,81.71,83.62,"https://public.flourish.studio/country-flags/svg/gn.svg"
"8","Guinea-Bissau",107.01,105.72,104.06,102.34,100.81,99.46,99.58,99.03,98.67,98.17,101.03,90.07,74.95,61,42.55,28.81,22.83,23.26,28.04,33.36,36.12,37.19,33.6,31.98,28.07,24.59,23.11,24.75,38.3,37.58,"https://public.flourish.studio/country-flags/svg/gw.svg"
"9","Liberia",163.95,153.22,167.17,175.93,176.47,178.07,179.02,193.85,194.52,199.07,195.45,209.3,210.08,212.43,203.53,200.03,185.32,184.12,171.98,155.03,142.31,140.22,115.44,107.33,122.07,121.67,134.52,138.05,135.2,130.78,"https://public.flourish.studio/country-flags/svg/lr.svg"
"10","Mali",166.45,164.61,161.97,158.34,154.55,152.16,149.07,144.75,139.57,136.61,134.54,136.8,138,143.81,148.96,152.79,150.91,144.83,137.45,129.75,126.29,132.54,145.41,146.17,139.54,115.7,85.67,61.27,65.28,67.11,"https://public.flourish.studio/country-flags/svg/ml.svg"
"11","Niger",152.08,150.16,149.49,148.36,146.53,145.38,142.92,143.51,142.94,142.17,135.44,137.68,121.63,125.35,125.86,134.82,130.77,144.85,153,165.5,173.29,178.75,180.59,174.52,165.99,145.6,131.57,113.56,100.47,102.88,"https://public.flourish.studio/country-flags/svg/ne.svg"
"12","Nigeria",144.19,149.87,153.25,156.16,158.05,158.97,159.56,160.8,161.38,161.88,160.69,167.08,166.24,172.35,171.03,173.53,175.39,181.01,182.32,174.32,163.34,151.17,138.22,127,123.62,112.79,109.45,105.83,111.33,112.34,"https://public.flourish.studio/country-flags/svg/ng.svg"
"13","Senegal",121.95,121.71,134.76,144.98,155.4,187.26,211.66,226.4,222.29,218.88,236.03,89.03,85.02,128.71,106.53,104.26,108.59,102.17,85.75,59.07,113.62,98.99,101.96,86.72,66.9,62.96,50.69,57.86,66.54,61.67,"https://public.flourish.studio/country-flags/svg/sn.svg"
"14","Sierra Leone",239.28,248.18,243.11,242.79,249.67,250.75,258.9,275.99,271.19,276.33,273.64,289.46,297.03,300.26,298.11,285.89,278.33,278.35,286.83,274.42,252.06,238.74,223.6,208.15,198.2,192.84,194.42,181.63,168.38,162.53,"https://public.flourish.studio/country-flags/svg/sl.svg"
"15","Togo",106.98,107.69,106.79,106.56,106.06,104.78,104.3,104.32,104.42,103.16,100.51,105.56,111.06,124.26,133.51,139.6,136.22,140.3,127.37,114.03,108.64,108.47,115.14,120.75,121.12,111.14,101.34,88.85,91.28,91.63,"https://public.flourish.studio/country-flags/svg/tg.svg"
